stock,model,model_display,regime,regime_name,n_samples,accuracy,f1_macro
HK.01211,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15961,39.05,28.07
HK.01211,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3994,19.63,19.59
HK.01211,transformer,Transformer,0,平稳期(<P50),19918,25.84,23.69
HK.01211,transformer,Transformer,1,正常期(P50-P90),15961,19.95,18.53
HK.01211,transformer,Transformer,2,高波动期(>P90),3994,16.27,16.49
HK.01211,pv_transformer,PV-Transformer,0,平稳期(<P50),19918,35.89,28.87
HK.01211,pv_transformer,PV-Transformer,1,正常期(P50-P90),15961,26.02,22.37
HK.01211,pv_transformer,PV-Transformer,2,高波动期(>P90),3994,15.35,15.38
HK.01211,xgboost,XGBoost,0,平稳期(<P50),19918,26.1,24.37
HK.01211,xgboost,XGBoost,1,正常期(P50-P90),15961,23.04,20.75
HK.01211,xgboost,XGBoost,2,高波动期(>P90),3994,29.27,26.06
HK.00388,lstm,LSTM,0,平稳期(<P50),19904,11.64,12.63
HK.00388,lstm,LSTM,1,正常期(P50-P90),15932,11.05,12.02
HK.00388,lstm,LSTM,2,高波动期(>P90),3981,12.74,13.88
HK.00388,cnn_lstm,CNN-LSTM,0,平稳期(<P50),19904,15.72,15.88
HK.00388,cnn_lstm,CNN-LSTM,1,正常期(P50-P90),15932,13.32,14.0
HK.00388,cnn_lstm,CNN-LSTM,2,高波动期(>P90),3981,13.56,14.54
HK.00388,transformer,Transformer,0,平稳期(<P50),19904,17.51,17.6
HK.00388,transformer,Transformer,1,正常期(P50-P90),15932,12.16,13.06
HK.00388,transformer,Transformer,2,高波动期(>P90),3981,13.46,14.45
HK.00388,pv_transformer,PV-Transformer,0,平稳期(<P50),19904,20.78,18.57
HK.00388,pv_transformer,PV-Transformer,1,正常期(P50-P90),15932,15.05,15.64
HK.00388,pv_transformer,PV-Transformer,2,高波动期(>P90),3981,13.79,14.44
HK.00388,xgboost,XGBoost,0,平稳期(<P50),19904,20.17,19.21
HK.00388,xgboost,XGBoost,1,正常期(P50-P90),15932,22.92,21.55
HK.00388,xgboost,XGBoost,2,高波动期(>P90),3981,25.6,23.39
