股票代码,股票名称,行业,特征,特征类别,XGBoost_SHAP,CNN_LSTM_SHAP,平均SHAP
HK.01810,小米集团,科技,kline_position,K线形态,0.01869875461393748,0.03126862541636819,0.024983690015152833
HK.01810,小米集团,科技,range_pct,K线形态,0.08069240122749104,0.05145580209312218,0.06607410166030661
HK.01810,小米集团,科技,return_1,价格动量,0.024127619659159147,0.026175750118649442,0.025151684888904294
HK.01810,小米集团,科技,return_5,价格动量,0.03413590783407897,0.03856722962959924,0.036351568731839104
HK.01810,小米集团,科技,return_20,价格动量,0.03214208542389133,0.04395878487532516,0.03805043514960825
HK.01810,小米集团,科技,return_60,价格动量,0.030302643862926283,0.02345516120590029,0.026878902534413288
HK.01810,小米集团,科技,return_zscore,价格动量,0.06672019222592283,0.062369949498087926,0.06454507086200538
HK.01810,小米集团,科技,atr_pct,波动率,0.07251068845589477,0.06153142320391768,0.06702105582990622
HK.01810,小米集团,科技,volatility_20,波动率,0.05565769660912438,0.03468929862125329,0.04517349761518884
HK.01810,小米集团,科技,ti,成交不平衡,0.054107751946791904,0.058823472375504976,0.05646561216114844
HK.01810,小米集团,科技,ti_5,成交不平衡,0.05265714622296478,0.04134038856828767,0.04699876739562622
HK.01810,小米集团,科技,ti_60,成交不平衡,0.043801816109593904,0.05903268669591314,0.05141725140275352
HK.01810,小米集团,科技,ti_zscore,成交不平衡,0.03490900951576035,0.10966998531932962,0.07228949741754498
HK.01810,小米集团,科技,relative_volume,成交量,0.07357982211627792,0.09518810641940821,0.08438396426784306
HK.01810,小米集团,科技,volume_change,成交量,0.058083810569965214,0.020711527864546372,0.03939766921725579
HK.01810,小米集团,科技,pv_corr,成交量,0.06183902417155485,0.014652139803947415,0.03824558198775113
HK.01810,小米集团,科技,rsi,技术指标,0.02946231296118073,0.017753397551860606,0.02360785525652067
HK.01810,小米集团,科技,bb_position,技术指标,0.06834609466874988,0.05354468210732736,0.06094538838803862
HK.01810,小米集团,科技,macd_dif,技术指标,0.05613478794274029,0.10752528437830804,0.08183003616052416
HK.01810,小米集团,科技,macd_dea,技术指标,0.0,0.0,0.0
HK.01810,小米集团,科技,macd,技术指标,0.051983025021320434,0.02782930022515747,0.039906162623238955
HK.01810,小米集团,科技,market_regime,市场状态,0.00010740884067349375,0.020457004028185788,0.01028220643442964
HK.00939,建设银行,金融,kline_position,K线形态,0.017749093251265023,0.04664022920617741,0.032194661228721215
HK.00939,建设银行,金融,range_pct,K线形态,0.023452808310279634,0.03781858891692731,0.030635698613603473
HK.00939,建设银行,金融,return_1,价格动量,0.006450436667185682,0.02231236439343712,0.014381400530311401
HK.00939,建设银行,金融,return_5,价格动量,0.021699977515824823,0.03599155683288381,0.028845767174354317
HK.00939,建设银行,金融,return_20,价格动量,0.02612976096928078,0.03345535962461315,0.029792560296946963
HK.00939,建设银行,金融,return_60,价格动量,0.03608257156234463,0.03308747049001899,0.034585021026181814
HK.00939,建设银行,金融,return_zscore,价格动量,0.08735415406355984,0.07386678422484486,0.08061046914420235
HK.00939,建设银行,金融,atr_pct,波动率,0.04466073611249445,0.016555799903953387,0.03060826800822392
HK.00939,建设银行,金融,volatility_20,波动率,0.044647608670564894,0.028703482956399497,0.036675545813482195
HK.00939,建设银行,金融,ti,成交不平衡,0.0649302429211831,0.06600989431048551,0.0654700686158343
HK.00939,建设银行,金融,ti_5,成交不平衡,0.06600830295789586,0.07056122817067584,0.06828476556428585
HK.00939,建设银行,金融,ti_60,成交不平衡,0.04264656759300542,0.08494856689042424,0.06379756724171483
HK.00939,建设银行,金融,ti_zscore,成交不平衡,0.03127710836519475,0.09218315541130875,0.06173013188825175
HK.00939,建设银行,金融,relative_volume,成交量,0.06802950088356528,0.08303782375118281,0.07553366231737405
HK.00939,建设银行,金融,volume_change,成交量,0.06015172414389277,0.017210830019850153,0.03868127708187146
HK.00939,建设银行,金融,pv_corr,成交量,0.07586641284287873,0.021784404898309056,0.048825408870593896
HK.00939,建设银行,金融,rsi,技术指标,0.031045958309767602,0.034863135699816535,0.03295454700479207
HK.00939,建设银行,金融,bb_position,技术指标,0.09220253342285524,0.03708765592132701,0.06464509467209112
HK.00939,建设银行,金融,macd_dif,技术指标,0.09606822370936359,0.12166657379759224,0.10886739875347792
HK.00939,建设银行,金融,macd_dea,技术指标,0.0,0.0,0.0
HK.00939,建设银行,金融,macd,技术指标,0.06320779155928423,0.03451822858256238,0.04886301007092331
HK.00939,建设银行,金融,market_regime,市场状态,0.00033848616831371354,0.007696865997209991,0.0040176760827618525
HK.01299,友邦保险,金融,kline_position,K线形态,0.021432046892497364,0.03686367207826395,0.029147859485380657
HK.01299,友邦保险,金融,range_pct,K线形态,0.055786586239487373,0.035676412681768556,0.04573149946062796
HK.01299,友邦保险,金融,return_1,价格动量,0.044440583510770376,0.017516386647839794,0.030978485079305083
HK.01299,友邦保险,金融,return_5,价格动量,0.04999428144679475,0.03968771923676856,0.04484100034178165
HK.01299,友邦保险,金融,return_20,价格动量,0.034052664999069615,0.08599117869545939,0.0600219218472645
HK.01299,友邦保险,金融,return_60,价格动量,0.02947991190963277,0.029457431158766194,0.02946867153419948
HK.01299,友邦保险,金融,return_zscore,价格动量,0.07622716716293043,0.04371237387395354,0.05996977051844199
HK.01299,友邦保险,金融,atr_pct,波动率,0.045769809248350425,0.0545526337012144,0.050161221474782414
HK.01299,友邦保险,金融,volatility_20,波动率,0.05273161266024147,0.07658067377978016,0.06465614322001081
HK.01299,友邦保险,金融,ti,成交不平衡,0.06227588179953421,0.0829020546600358,0.072588968229785
HK.01299,友邦保险,金融,ti_5,成交不平衡,0.06082156363705336,0.03130962564635532,0.04606559464170434
HK.01299,友邦保险,金融,ti_60,成交不平衡,0.02095670395069936,0.07700392642583338,0.04898031518826637
HK.01299,友邦保险,金融,ti_zscore,成交不平衡,0.023425180667231614,0.08069944247946267,0.05206231157334715
HK.01299,友邦保险,金融,relative_volume,成交量,0.04128300754375785,0.11468175012508638,0.07798237883442212
HK.01299,友邦保险,金融,volume_change,成交量,0.052159158555519884,0.01288869994363683,0.03252392924957836
HK.01299,友邦保险,金融,pv_corr,成交量,0.06547311289821144,0.014388206881592853,0.039930659889902145
HK.01299,友邦保险,金融,rsi,技术指标,0.03027335156458805,0.017580564176877065,0.023926957870732558
HK.01299,友邦保险,金融,bb_position,技术指标,0.07593215065075547,0.02976645195002133,0.052849301300388396
HK.01299,友邦保险,金融,macd_dif,技术指标,0.0979006688538088,0.06466984271554736,0.08128525578467807
HK.01299,友邦保险,金融,macd_dea,技术指标,0.0,0.0,0.0
HK.01299,友邦保险,金融,macd,技术指标,0.059201260186007,0.03175780103454178,0.04547953061027439
HK.01299,友邦保险,金融,market_regime,市场状态,0.0003832956230585415,0.02231315210719453,0.011348223865126536
HK.00941,中国移动,通信,kline_position,K线形态,0.01799300912754826,0.03881275434689014,0.0284028817372192
HK.00941,中国移动,通信,range_pct,K线形态,0.03774294041949691,0.02318902918963439,0.03046598480456565
HK.00941,中国移动,通信,return_1,价格动量,0.012444655181493878,0.0182887317950384,0.015366693488266138
HK.00941,中国移动,通信,return_5,价格动量,0.019456330157547757,0.018984202571088488,0.019220266364318124
HK.00941,中国移动,通信,return_20,价格动量,0.025956732061171134,0.03104203963719009,0.02849938584918061
HK.00941,中国移动,通信,return_60,价格动量,0.025350116609223882,0.010225821870624357,0.01778796923992412
HK.00941,中国移动,通信,return_zscore,价格动量,0.09141554834004235,0.05962070616671058,0.07551812725337646
HK.00941,中国移动,通信,atr_pct,波动率,0.06402790017050898,0.010292053984255891,0.03715997707738244
HK.00941,中国移动,通信,volatility_20,波动率,0.043985713888912724,0.008339808402149252,0.02616276114553099
HK.00941,中国移动,通信,ti,成交不平衡,0.0610100125183292,0.08586987076491273,0.07343994164162096
HK.00941,中国移动,通信,ti_5,成交不平衡,0.07704711608735537,0.06734799861569704,0.0721975573515262
HK.00941,中国移动,通信,ti_60,成交不平衡,0.028533587211102853,0.10806881048461661,0.06830119884785973
HK.00941,中国移动,通信,ti_zscore,成交不平衡,0.020955798644995187,0.06943103550625847,0.045193417075626824
HK.00941,中国移动,通信,relative_volume,成交量,0.05433886021143369,0.12254363331828888,0.08844124676486129
HK.00941,中国移动,通信,volume_change,成交量,0.05250741928010494,0.02853299134436267,0.040520205312233805
